Sample,Hours,Days,Sample.point,Density,Individuals,Mesocosm,copiesrxn,copies/uL ,log10copies.ul,logcopies.ul
2,0,0,0,1,One,2,0,0,0,0
3,0,0,0,1,One,3,0,0,0,0
4,0,0,0,1,One,4,0,0,0,0
5,0,0,0,5,Five,5,0,0,0,0
6,0,0,0,5,Five,6,0,0,0,0
7,0,0,0,5,Five,7,0,0,0,0
8,0,0,0,20,Twenty,8,0,0,0,0
9,0,0,0,20,Twenty,9,0,0,0,0
10,0,0,0,20,Twenty,10,0,0,0,0
12,4,0.166666667,1,1,One,2,2,1,-0.034542567,-0.034542567
13,4,0.166666667,1,1,One,3,4,2,0.275759038,0.275759038
14,4,0.166666667,1,1,One,4,18,9,0.942782737,0.942782737
15,4,0.166666667,1,5,Five,5,7,4,0.573566614,0.573566614
16,4,0.166666667,1,5,Five,6,66,33,1.521774371,1.521774371
17,4,0.166666667,1,5,Five,7,22,11,1.041262995,1.041262995
18,4,0.166666667,1,20,Twenty,8,45,23,1.354461194,1.354461194
19,4,0.166666667,1,20,Twenty,9,43,21,1.332193253,1.332193253
20,4,0.166666667,1,20,Twenty,10,58,29,1.461578383,1.461578383
22,8,0.333333333,2,1,One,2,0,0,0,0
23,8,0.333333333,2,1,One,3,0,0,0,0
24,8,0.333333333,2,1,One,4,14,7,0.842322956,0.842322956
25,8,0.333333333,2,5,Five,5,1018,509,2.706519545,2.706519545
26,8,0.333333333,2,5,Five,6,61,31,1.487805953,1.487805953
27,8,0.333333333,2,5,Five,7,32,16,1.204520049,1.204520049
28,8,0.333333333,2,20,Twenty,8,13801,6901,3.83889276,3.83889276
29,8,0.333333333,2,20,Twenty,9,78,39,1.593408423,1.593408423
30,8,0.333333333,2,20,Twenty,10,20,10,0.994731696,0.994731696
32,24,1,3,1,One,2,3,1,0.16147833,0.16147833
33,24,1,3,1,One,3,2,1,-0.012149167,-0.012149167
34,24,1,3,1,One,4,64255,32128,4.506877078,4.506877078
35,24,1,3,5,Five,5,6089,3045,3.48352252,3.48352252
36,24,1,3,5,Five,6,13801,6901,3.83889276,3.83889276
37,24,1,3,5,Five,7,591644,295822,5.471030831,5.471030831
38,24,1,3,20,Twenty,8,46652,23326,4.367840405,4.367840405
39,24,1,3,20,Twenty,9,1169,584,2.766769729,2.766769729
40,24,1,3,20,Twenty,10,16716,8358,3.922091047,3.922091047
42,48,2,4,1,One,2,33,16,1.213918374,1.213918374
43,48,2,4,1,One,3,20,10,0.99838691,0.99838691
44,48,2,4,1,One,4,468839,234419,5.369993481,5.369993481
45,48,2,4,5,Five,5,419942,209971,5.322159463,5.322159463
46,48,2,4,5,Five,6,59202,29601,4.471306351,4.471306351
47,48,2,4,5,Five,7,145772,72886,4.862645358,4.862645358
48,48,2,4,20,Twenty,8,35252,17626,4.24614817,4.24614817
49,48,2,4,20,Twenty,9,92986,46493,4.667387684,4.667387684
50,48,2,4,20,Twenty,10,183865,91932,4.963468543,4.963468543
52,72,3,5,1,One,2,4,2,0.331930532,0.331930532
53,72,3,5,1,One,3,7,4,0.568655349,0.568655349
54,72,3,5,1,One,4,4655,2327,3.366861305,3.366861305
55,72,3,5,5,Five,5,1275,637,2.80432287,2.80432287
56,72,3,5,5,Five,6,360,180,2.255740454,2.255740454
57,72,3,5,5,Five,7,14145,7073,3.849583421,3.849583421
58,72,3,5,20,Twenty,8,11,5,0.724967557,0.724967557
59,72,3,5,20,Twenty,9,9284,4642,3.666717571,3.666717571
60,72,3,5,20,Twenty,10,150,75,1.874182273,1.874182273
62,168,7,6,1,One,2,31,16,1.196777788,1.196777788
63,168,7,6,1,One,3,29,15,1.165101205,1.165101205
64,168,7,6,1,One,4,79,39,1.596050256,1.596050256
65,168,7,6,5,Five,5,7,3,0.514855146,0.514855146
66,168,7,6,5,Five,6,23,12,1.064610031,1.064610031
67,168,7,6,5,Five,7,5,2,0.372303644,0.372303644
68,168,7,6,20,Twenty,8,0,0,0,0
69,168,7,6,20,Twenty,9,30,15,1.176831194,1.176831194
70,168,7,6,20,Twenty,10,184,92,1.963021432,1.963021432
82,360,15,7,1,One,2,0,0,0,0
83,360,15,7,1,One,3,0,0,0,0
84,360,15,7,1,One,4,4,2,0.346114875,0.346114875
85,360,15,7,5,Five,5,5,2,0.36956747,0.36956747
86,360,15,7,5,Five,6,0,0,0,0
87,360,15,7,5,Five,7,1,1,-0.151891125,-0.151891125
88,360,15,7,20,Twenty,8,20,10,1.008401963,1.008401963
89,360,15,7,20,Twenty,9,161,80,1.904702985,1.904702985
90,360,15,7,20,Twenty,10,0,0,0,0
92,504,21,8,1,One,2,6,3,0.48187154,0.48187154
93,504,21,8,1,One,3,15,7,0.861723215,0.861723215
94,504,21,8,1,One,4,52,26,1.414174915,1.414174915
95,504,21,8,5,Five,5,11,5,0.725174568,0.725174568
96,504,21,8,5,Five,6,0,0,0,0
97,504,21,8,5,Five,7,0,0,0,0
98,504,21,8,20,Twenty,8,397,199,2.297838842,2.297838842
99,504,21,8,20,Twenty,9,223,112,2.047905275,2.047905275
100,504,21,8,20,Twenty,10,347,173,2.239096129,2.239096129
102,528,22,9,1,One,2,8,4,0.578214239,0.578214239
103,528,22,9,1,One,3,10,5,0.702644234,0.702644234
104,528,22,9,1,One,4,0,0,0,0
105,528,22,9,5,Five,5,0,0,0,0
106,528,22,9,5,Five,6,7,4,0.547060728,0.547060728
107,528,22,9,5,Five,7,13,7,0.814054233,0.814054233
108,528,22,9,20,Twenty,8,27,13,1.127289225,1.127289225
109,528,22,9,20,Twenty,9,15,7,0.869095855,0.869095855
110,528,22,9,20,Twenty,10,34,17,1.226601252,1.226601252
132,672,28,10,1,One,2,0,0,0,0
133,672,28,10,1,One,3,0,0,0,0
134,672,28,10,1,One,4,0,0,0,0
135,672,28,10,5,Five,5,0,0,0,0
136,672,28,10,5,Five,6,0,0,0,0
137,672,28,10,5,Five,7,0,0,0,0
138,672,28,10,20,Twenty,8,0,0,0,0
139,672,28,10,20,Twenty,9,0,0,0,0
140,672,28,10,20,Twenty,10,0,0,0,0
142,840,35,11,1,One,2,0,0,0,0
143,840,35,11,1,One,3,0,0,0,0
144,840,35,11,1,One,4,0,0,0,0
145,840,35,11,5,Five,5,0,0,0,0
146,840,35,11,5,Five,6,0,0,0,0
147,840,35,11,5,Five,7,0,0,0,0
148,840,35,11,20,Twenty,8,0,0,0,0
149,840,35,11,20,Twenty,9,0,0,0,0
150,840,35,11,20,Twenty,10,0,0,0,0
152,1008,42,12,1,One,2,0,0,0,0
153,1008,42,12,1,One,3,0,0,0,0
154,1008,42,12,1,One,4,0,0,0,0
155,1008,42,12,5,Five,5,0,0,0,0
156,1008,42,12,5,Five,6,0,0,0,0
157,1008,42,12,5,Five,7,0,0,0,0
158,1008,42,12,20,Twenty,8,0,0,0,0
159,1008,42,12,20,Twenty,9,0,0,0,0
160,1008,42,12,20,Twenty,10,0,0,0,0